#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
cdt;image/x-coreldrawtemplate
cdx;x-chemical/x-cdx
cdxml;application/vnd.chemdraw+xml
cdy;application/vnd.cinderella
cea;application/cea
cef;x-chemical/x-cxf
cellml;application/cellml+xml
cer;application/pkix-cert
cert;application/x-x509-ca-cert
cfs;application/x-cfs-compressed
cgb;application/x-gameboy-rom
cgm;image/cgm
cha;application/x-chat
chat;application/x-chat
chm;application/vnd.ms-htmlhelp
chrt;application/vnd.kde.kchart
cif;application/vnd.multiad.creator.cif
cii;application/vnd.anser-web-certificate-issue-initiation
cil;application/vnd.ms-artgalry
cl;application/simple-filter+xml
cla;application/vnd.claymore
class;application/vnd.dvb.dvbj
clkk;application/vnd.crick.clicker.keyboard
clkp;application/vnd.crick.clicker.palette
clkt;application/vnd.crick.clicker.template
clkw;application/vnd.crick.clicker.wordbank
clkx;application/vnd.crick.clicker
clp;application/x-msclip
clpi;video/mp2t
cls;text/x-tex
clue;application/clue_info+xml
cmake;text/x-cmake
cmc;application/vnd.cosmocaller
cmdf;x-chemical/x-cmdf
cml;x-chemical/x-cml
cmp;application/vnd.yellowriver-custom-menu
cmsc;application/cms
cmx;image/x-cmx
cnd;text/jcr-cnd
cob;text/x-cobol
cod;application/vnd.rim.cod
coffee;application/vnd.coffeescript
com;application/x-msdos-program
conf;text/plain
cpa;x-chemical/x-compass
cpi;video/mp2t
cpio;application/x-cpio
cpkg;application/vnd.xmpie.cpkg
cpl;application/cpl+xml
cpp;text/x-c++src
cpt;audio/vnd.dts
cr2;image/x-canon-cr2
crd;application/x-mscardfile
crdownload;application/x-partial-download
crl;application/pkix-crl
crt;application/x-x509-ca-cert
crtr;application/vnd.multiad.creator
crw;image/x-canon-crw
crx;application/x-chrome-extension
cryptonote;application/vnd.rig.cryptonote
cs;text/x-csharp
csf;x-chemical/x-cache-csf
csh;application/x-csh
csl;application/vnd.citationstyles.style+xml
csm;application/x-cu-seeme
csml;x-chemical/x-csml
csp;application/vnd.commonspace
csrattrs;application/csrattrs
css;text/css
cst;application/vnd.commonspace
csv;text/csv
csvs;text/csv-schema
ctab;x-chemical/x-cactvs-binary
ctx;x-chemical/x-ctx
cu;application/x-cu-seeme
cub;x-chemical/x-gaussian-cube
cuc;application/tamp-community-update-confirm
cue;application/x-cue
cur;image/x-win-bitmap
curl;application/vnd-curl
cw;application/prs.cww
cww;application/prs.cww
cxf;x-chemical/x-cxf
cxt;application/x-director
cxx;text/x-c++src
d;text/x-dsrc
dae;model/vnd.collada+xml
daf;application/vnd.mobius.daf
dar;application/x-dar
dart;application/vnd-dart
dat;application/x-ns-proxy-autoconfig
dataless;application/vnd.fdsn.mseed
davmount;application/davmount+xml
dbf;application/x-dbf
dbk;application/x-docbook+xml
dc;application/x-dc-rom
dcd;application/dcd
dcl;text/x-dcl
dcm;application/dicom
dcr;application/x-director
dcurl;text/vnd.curl.dcurl
dd2;application/vnd.oma.dd2+xml
ddd;application/vnd.fujixerox.ddd
ddf;application/vnd.syncml.dmddf+wbxml
dds;image/x-dds
deb;application/vnd.debian.binary-package
deepv;application/x-deepv
def;text/plain
deploy;application/octet-stream
der;application/x-x509-ca-cert
desktop;application/x-desktop
dfac;application/vnd.dreamfactory
dgc;application/x-dgc-compressed
dgn;image/vnd.dgn
di;text/x-dsrc
dia;application/x-dia-diagram
dib;image/bmp
dic;text/x-c
dif;video/dv
diff;text/x-diff
dii;application/dii
dim;application/vnd.fastcopy-disk-image
dir;application/x-director
dis;application/vnd.mobius.dis
disclosed;application/vnd.sss-ntf
disposition-notification;message/disposition-notification
dist;application/vnd.apple.installer+xml
distz;application/vnd.apple.installer+xml
dit;application/dit
dive;application/vnd.patentdive
divx;video/x-msvideo
djv;image/vnd-djvu
djvu;image/vnd-djvu
dl;video/x-dl
dll;application/vnd.microsoft.portable-executable
dls;audio/dls
dmg;application/x-apple-diskimage
dmp;application/vnd.tcpdump.pcap
dms;text/vnd.dmclientscript
dna;application/vnd.dna
dng;image/x-adobe-dng
doc;application/msword
docbook;application/x-docbook+xml
docjson;application/vnd.document+json
docm;application/vnd.ms-word.document.macroenabled.12
docx;application/vnd.openxmlformats-officedocument.wordprocessingml.document
dor;model/vnd.gs-gdl
dot;text/vnd.graphviz
dotm;application/vnd.ms-word.template.macroenabled.12
dotx;application/vnd.openxmlformats-officedocument.wordprocessingml-template
dp;application/vnd.osgi.dp
dpg;application/vnd.dpgraph
dpgraph;application/vnd.dpgraph
dpkg;application/vnd.xmpie.dpkg
dra;audio/vnd.dra
drle;image/dicom-rle
drw;application/x-drafting
dsc;text/prs.lines.tag
dsl;text/x-dsl
dsm;application/vnd.desmume-movie
dssc;application/dssc+der
dtb;application/x-dtbook+xml
dtd;application/xml-dtd
dts;audio/vnd.dts
dtshd;audio/vnd.dts.hd
dtx;text/x-tex
dump;application/octet-stream
dv;video/dv
dvb;audio/vnd.dvb.file
dvc;application/dvcs
dvi;application/x-dvi
dwf;model/vnd-dwf
dwg;image/vnd.dwg
dx;x-chemical/x-jcamp-dx
dxf;image/vnd.dxf
dxp;application/vnd.spotfire.dxp
dxr;application/vnd-dxr
dzr;application/vnd.dzr
e;text/x-eiffel
eFIF;application/vnd.picsel
ecelp4800;audio/vnd.nuera.ecelp4800
ecelp7470;audio/vnd.nuera.ecelp7470
ecelp9600;audio/vnd.nuera.ecelp9600
ecig;application/vnd.evolv.ecig.settings
ecigprofile;application/vnd.evolv.ecig.profile
ecigtheme;application/vnd.evolv.ecig.theme
ecma;application/ecmascript
edm;application/vnd.novadigm.edm
edx;application/vnd.novadigm.edx
efi;application/efi
efif;application/vnd.picsel
egon;application/x-egon
ei6;application/vnd.pg.osasli
eif;text/x-eiffel
el;text/x-script.elisp
elc;application/x-bytecode.elisp
emb;x-chemical/x-embl-dl-nucleotide
embl;x-chemical/x-embl-dl-nucleotide
emf;image/emf
eml;message/rfc822
emm;application/vnd.ibm.electronic-media
emma;application/emma+xml
emotionml;application/emotionml+xml
emp;application/vnd.emusic-emusic_package
emz;application/x-msmetafile
ent;application/vnd.nervana
entity;application/vnd.nervana
env;application/x-envoy
enw;audio/evrcnw
eol;audio/vnd.digital-winds
eot;application/vnd.ms-fontobject
eps2;application/postscript
eps3;application/postscript
eps;application/postscript
epsf;application/postscript
epsi;application/postscript
epub;application/epub+zip
erf;image/x-epson-erf
erl;text/x-erlang
es3;application/vnd.eszigno3+xml
es;application/ecmascript
esa;application/vnd.osgi.subsystem
esf;application/vnd.epson.esf
espass;application/vnd.espass-espass+zip
et3;application/vnd.eszigno3+xml
etheme;application/x-e-theme
etx;text/x-setext
eva;application/x-eva
evb;audio/evrcb
evc;audio/evrc
event-stream;text/x-event-stream
evw;audio/evrcwb
evy;application/x-envoy
exe;application/vnd.microsoft.portable-executable
exi;application/exi
exr;image/aces
ext;application/vnd.novadigm.ext
ez2;application/vnd.ezpix-album
ez3;application/vnd.ezpix-package
ez;application/andrew-inset
f4a;audio/mp4
f4b;audio/mp4
